,sr,irstp,miu_period,Utility 2055,Utility 2105,Utility 2155,Utility 2205,Utility 2305,Total Aggregated Utility
493,0.24058397838331036,0.011999999999999999,5,2970.630343832854,2531.165770241889,1483.5573609866751,761.0810058265935,194.57659847886444,2249.854762799459
494,0.2375768927718712,0.011999999999999999,11,2999.9535958760985,2528.840323592784,1479.0178144059867,759.3787505239061,194.26698598894103,2255.5269157525204
495,0.1589612153417114,0.011999999999999999,18,3019.0082202130493,2516.8701292892692,1457.2547553285917,749.0441103438901,192.32877636489818,2252.8615238173898
496,0.2295107601271065,0.011999999999999999,11,3002.0515037990886,2528.520017563609,1478.0148998237344,758.9631394972155,194.19383403314305,2255.955437876741
497,0.19969215962986506,0.011999999999999999,15,3011.328860775735,2526.4680766376605,1470.1117151413614,755.1437906013596,193.51379128747013,2256.4052592995995
498,0.1142553087080602,0.011999999999999999,25,3024.00166533952,2496.990506625134,1432.7768975802053,738.256720130957,190.00746275684338,2241.97373627637
499,0.2107815913015514,0.011999999999999999,13,3008.0603149109556,2527.725075267257,1473.606094576216,757.1271508447853,193.8736780692889,2256.660609049637
500,0.1833820158508289,0.011999999999999999,17,3015.0007095114147,2523.4564746662063,1465.4158374242518,752.5761689358734,192.99546553521458,2255.463316915959
501,0.2365669126185504,0.011999999999999999,5,2971.714189482806,2531.048407594803,1483.0972608885104,760.8897353033313,194.5428707544281,2250.1035905028593
502,0.20438957701501534,0.011999999999999999,15,3010.351422980858,2527.155003480373,1471.0950389709649,755.5411261128763,193.5837720058304,2256.488266090816
503,0.1890686768245076,0.011999999999999999,14,3013.0074083453633,2524.5249367415913,1468.276080728629,754.8809762116994,193.4800922316237,2256.181782510927
504,0.2684423923791591,0.011999999999999999,5,2962.392160425264,2530.606979666839,1485.7497957020416,762.0152200392264,194.74102119852063,2247.244522349174
505,0.17615076640433888,0.011999999999999999,14,3015.2714856686084,2521.662407388923,1464.6709025853681,753.421186803949,193.2222793560996,2255.2745717695398
506,0.18791823746309028,0.011999999999999999,23,3015.004542521369,2524.043395421856,1465.0907600316789,751.3063872604766,192.36160459030918,2255.108232076296
507,0.2604310604276781,0.011999999999999999,7,2983.893102314835,2528.221571455176,1484.0068197846576,761.3395289908055,194.61593274739857,2251.41115115017
508,0.1888747287160879,0.011999999999999999,17,3014.0049255447248,2524.589766457312,1466.858496234269,753.1535359937476,193.09644518532085,2255.7860786791894
509,0.22170732053310505,0.011999999999999999,5,2975.493106245876,2530.1579203151573,1481.0464970541932,760.0446086572213,194.39373439983987,2250.7260784129458
510,0.2381044845739866,0.011999999999999999,7,2990.2789888714947,2528.3573114572478,1482.006970243253,760.4955483300191,194.46745528255147,2253.28759220158
511,0.2445292626377501,0.011999999999999999,8,2992.5350673773632,2527.406557002515,1482.0034491493516,760.5296242046384,194.47129946248555,2253.760489211637
512,0.21679986061228534,0.011999999999999999,11,3005.141202156963,2527.578166201265,1476.0923709743286,758.1730824680915,194.0546265944456,2256.343101156204
513,0.2816084607295079,0.011999999999999999,6,2970.3792175742406,2528.076976889267,1485.6016005541378,762.005719159432,194.73564808863082,2247.434672996876
514,0.25779580365405264,0.011999999999999999,8,2988.7026084748845,2527.2318324634743,1483.1280959932187,761.0061809248167,194.5550578649152,2252.590954137049
515,0.15543067217551454,0.011999999999999999,22,3020.00431478085,2515.479665437001,1455.027313607131,747.4696316799202,191.78350003382602,2251.995106915601
516,0.15252551375877288,0.011999999999999999,19,3020.007787490788,2514.658151687229,1454.4732235036886,747.6943164668219,192.01803534511225,2251.7888868044547
517,0.15857425799289654,0.011999999999999999,29,3020.001736844216,2516.045696912273,1454.9991235025234,746.7525448594741,191.1631134348687,2251.842192565147
518,0.2354211828094082,0.011999999999999999,5,2972.0184773660585,2531.00546572898,1482.9589109238061,760.8323759801477,194.53275403750655,2250.1683990027523
519,0.193211079011787,0.011999999999999999,23,3014.0049234568482,2525.036986553004,1466.3821137627747,751.8134087463623,192.4459779589168,2255.3458763380413
