Unnamed: 0,fdamage,fosslim,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,scenario_pop_gdp,scenario_sigma,t2xco2_dist,t2xco2_index,scenario,policy,model,sr,irstp,miu_period,egalitarian_discounting,principle,clusters
14827,1.0,5649.415511385392,0.0,1.0,0.0,4.0,2.0,2.0,827.0,14862,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
521,0.0,4942.026559922073,1.0,2.0,1.0,2.0,1.0,0.0,676.0,556,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
4639,2.0,7614.762958863128,1.0,2.0,0.0,5.0,2.0,0.0,199.0,4674,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
5828,1.0,8710.395465461017,1.0,0.0,0.0,4.0,0.0,2.0,395.0,5863,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
13612,1.0,7284.316220357588,1.0,0.0,1.0,5.0,0.0,2.0,439.0,13647,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
12714,0.0,4466.2483659039735,0.0,1.0,0.0,1.0,1.0,0.0,297.0,12749,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
12513,1.0,8695.522453107005,1.0,2.0,1.0,3.0,2.0,0.0,685.0,12548,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
11500,2.0,11686.47051239451,0.0,0.0,1.0,5.0,1.0,0.0,89.0,11535,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
6807,0.0,5335.950833376759,0.0,1.0,0.0,4.0,0.0,1.0,313.0,6842,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
4534,2.0,8876.857075663027,0.0,1.0,0.0,1.0,0.0,1.0,553.0,4569,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
675,1.0,12379.16979976203,1.0,2.0,1.0,1.0,2.0,0.0,252.0,710,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
3146,1.0,6418.973762988129,0.0,0.0,1.0,0.0,1.0,0.0,149.0,3181,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
397,1.0,4591.238188835552,0.0,1.0,0.0,5.0,2.0,0.0,515.0,432,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
7126,2.0,10241.427239661149,0.0,2.0,1.0,0.0,2.0,0.0,822.0,7161,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
10370,1.0,10417.422763903309,0.0,2.0,1.0,1.0,0.0,2.0,756.0,10405,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
4392,1.0,7519.674450368632,1.0,0.0,0.0,4.0,0.0,0.0,406.0,4427,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
11730,0.0,6295.588478018517,1.0,2.0,0.0,2.0,1.0,0.0,741.0,11765,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
14752,1.0,11321.824487089038,1.0,0.0,1.0,5.0,1.0,2.0,247.0,14787,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
33,1.0,11130.178040091045,0.0,2.0,0.0,3.0,0.0,2.0,973.0,68,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
8645,1.0,12491.164374745824,1.0,1.0,0.0,3.0,1.0,0.0,136.0,8680,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
9258,1.0,11654.9232223074,1.0,2.0,0.0,4.0,2.0,2.0,26.0,9293,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
845,1.0,7528.860567429934,0.0,1.0,1.0,5.0,1.0,1.0,469.0,880,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
7118,1.0,12051.234323098794,0.0,2.0,1.0,3.0,2.0,2.0,169.0,7153,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
10688,2.0,11969.012953290356,1.0,2.0,0.0,2.0,0.0,0.0,160.0,10723,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
13428,0.0,5582.2888638948725,1.0,1.0,1.0,5.0,1.0,0.0,898.0,13463,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
7968,1.0,13390.302198228286,1.0,1.0,1.0,1.0,2.0,1.0,59.0,8003,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
3771,2.0,5428.778400781299,0.0,2.0,1.0,0.0,2.0,2.0,741.0,3806,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
11772,0.0,9160.93064256609,1.0,1.0,0.0,3.0,2.0,1.0,492.0,11807,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
13052,2.0,13367.083753878796,1.0,2.0,0.0,3.0,1.0,1.0,222.0,13087,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
4672,0.0,4491.934955194247,0.0,0.0,0.0,2.0,0.0,1.0,639.0,4707,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
5569,0.0,10799.068260539423,0.0,2.0,0.0,0.0,0.0,0.0,7.0,5604,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
13239,2.0,11374.482990823282,1.0,2.0,1.0,5.0,1.0,0.0,361.0,13274,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
7419,1.0,9020.153315345073,1.0,1.0,0.0,4.0,0.0,0.0,111.0,7454,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
