Unnamed: 0,fdamage,fosslim,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,scenario_pop_gdp,scenario_sigma,t2xco2_dist,t2xco2_index,scenario,policy,model,sr,irstp,miu_period,egalitarian_discounting,principle,clusters
5845,1.0,10234.325600219338,1.0,1.0,1.0,2.0,2.0,1.0,732.0,5880,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
4436,2.0,7727.252308573688,1.0,2.0,0.0,2.0,1.0,0.0,498.0,4471,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
6161,0.0,5589.604001971924,1.0,0.0,1.0,2.0,2.0,2.0,964.0,6196,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
643,1.0,7840.99072425323,0.0,1.0,0.0,5.0,2.0,0.0,588.0,678,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
6582,0.0,8947.459332895713,1.0,0.0,1.0,0.0,1.0,1.0,609.0,6617,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
6619,1.0,10901.781791919866,0.0,2.0,1.0,2.0,0.0,0.0,256.0,6654,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
1087,2.0,11540.359657853274,0.0,0.0,1.0,5.0,0.0,1.0,351.0,1122,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
3319,2.0,4533.075515025045,0.0,1.0,1.0,3.0,2.0,2.0,926.0,3354,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
7826,0.0,12105.12071698685,1.0,0.0,1.0,4.0,1.0,1.0,333.0,7861,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
5979,1.0,6825.085772982643,0.0,2.0,0.0,3.0,0.0,1.0,404.0,6014,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,2
11259,1.0,7603.959987821207,1.0,2.0,1.0,2.0,1.0,2.0,532.0,11294,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
13818,2.0,9057.444267924866,0.0,2.0,0.0,3.0,2.0,2.0,846.0,13853,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
5664,2.0,10348.721875060171,0.0,1.0,0.0,4.0,1.0,0.0,960.0,5699,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
13158,1.0,11063.727186882086,0.0,2.0,0.0,1.0,0.0,2.0,806.0,13193,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
4144,2.0,12254.242023694444,0.0,1.0,1.0,4.0,1.0,1.0,770.0,4179,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
467,2.0,7794.042347353299,0.0,2.0,0.0,1.0,0.0,1.0,342.0,502,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
8740,2.0,9153.898501884523,0.0,1.0,1.0,3.0,0.0,0.0,842.0,8775,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
489,1.0,12711.933692186993,0.0,1.0,1.0,4.0,0.0,1.0,499.0,524,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
7082,1.0,7976.053353667931,1.0,1.0,0.0,0.0,1.0,1.0,96.0,7117,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
12406,1.0,12149.249434399122,1.0,2.0,0.0,0.0,0.0,0.0,908.0,12441,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
3023,0.0,13515.861190016478,1.0,2.0,0.0,3.0,0.0,2.0,496.0,3058,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
1191,0.0,4411.40930792426,1.0,0.0,1.0,2.0,2.0,2.0,114.0,1226,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
4750,2.0,9134.927022165277,0.0,0.0,1.0,2.0,2.0,2.0,676.0,4785,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
