Unnamed: 0,fdamage,fosslim,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,scenario_pop_gdp,scenario_sigma,t2xco2_dist,t2xco2_index,scenario,policy,model,sr,irstp,miu_period,egalitarian_discounting,principle,clusters
10365,2.0,11439.829663626851,0.0,0.0,0.0,4.0,1.0,0.0,354.0,80365,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
5206,0.0,11071.241181037749,0.0,0.0,1.0,5.0,2.0,1.0,577.0,75206,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
14478,0.0,12251.879949696657,0.0,0.0,1.0,2.0,0.0,2.0,943.0,84478,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
14385,0.0,6625.302538810997,1.0,1.0,1.0,3.0,1.0,1.0,243.0,84385,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0
10267,2.0,6972.598867832958,0.0,1.0,1.0,4.0,2.0,1.0,20.0,80267,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
13077,0.0,7514.599775218514,1.0,1.0,1.0,0.0,0.0,0.0,232.0,83077,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
14174,1.0,13300.171933775538,0.0,2.0,1.0,2.0,1.0,1.0,757.0,84174,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
9163,1.0,8264.10069983256,0.0,1.0,0.0,2.0,0.0,2.0,218.0,79163,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
9725,1.0,13619.76354014199,1.0,1.0,0.0,0.0,1.0,2.0,896.0,79725,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
5911,2.0,8554.780376551458,0.0,2.0,0.0,0.0,2.0,2.0,716.0,75911,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
4919,2.0,6308.956639381084,0.0,2.0,0.0,1.0,1.0,1.0,637.0,74919,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
3879,2.0,11108.085325473943,0.0,0.0,1.0,3.0,2.0,2.0,420.0,73879,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0
486,2.0,6646.909562242913,1.0,1.0,1.0,5.0,0.0,2.0,124.0,70486,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
13813,1.0,11004.37540121337,0.0,0.0,0.0,4.0,0.0,1.0,967.0,83813,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
6879,2.0,9765.665436592491,1.0,1.0,1.0,3.0,0.0,0.0,869.0,76879,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0
13953,1.0,10831.561409312792,1.0,1.0,0.0,3.0,2.0,0.0,854.0,83953,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0
12030,0.0,8582.24814215015,0.0,2.0,1.0,3.0,2.0,0.0,151.0,82030,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0
5590,0.0,7916.465997781192,0.0,0.0,1.0,4.0,0.0,0.0,723.0,75590,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
8664,0.0,7872.235957479173,1.0,2.0,0.0,5.0,0.0,1.0,412.0,78664,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
3144,2.0,12061.937942663615,1.0,1.0,1.0,4.0,2.0,0.0,787.0,73144,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
10018,2.0,7604.7167648859295,0.0,2.0,0.0,2.0,1.0,2.0,929.0,80018,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
9158,2.0,10239.482762944435,0.0,0.0,0.0,2.0,2.0,0.0,82.0,79158,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
7235,1.0,12535.557009061684,1.0,2.0,1.0,5.0,1.0,2.0,597.0,77235,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0
5036,0.0,7291.007578507922,1.0,1.0,1.0,2.0,0.0,1.0,442.0,75036,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
4951,1.0,12467.663451273638,0.0,0.0,1.0,2.0,0.0,0.0,577.0,74951,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
12420,0.0,11391.021408037232,1.0,2.0,1.0,1.0,2.0,2.0,416.0,82420,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
2060,0.0,12451.498148243354,0.0,1.0,0.0,4.0,2.0,2.0,358.0,72060,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
7603,0.0,5621.188046034244,0.0,0.0,1.0,2.0,1.0,2.0,0.0,77603,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
2095,0.0,4257.661690317242,1.0,0.0,0.0,4.0,0.0,1.0,363.0,72095,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
13422,0.0,12518.69096580492,0.0,1.0,1.0,2.0,0.0,1.0,504.0,83422,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
12886,1.0,4506.482390553419,1.0,2.0,0.0,4.0,1.0,0.0,392.0,82886,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
6952,1.0,9962.40448802096,1.0,0.0,0.0,5.0,0.0,2.0,414.0,76952,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
12644,1.0,7341.493021411612,1.0,1.0,1.0,1.0,0.0,0.0,135.0,82644,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
8656,1.0,10545.010960231535,0.0,2.0,0.0,1.0,0.0,1.0,579.0,78656,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
13006,2.0,9814.982023334192,1.0,2.0,0.0,4.0,2.0,1.0,345.0,83006,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
14827,1.0,5649.415511385392,0.0,1.0,0.0,4.0,2.0,2.0,827.0,84827,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
521,0.0,4942.026559922073,1.0,2.0,1.0,2.0,1.0,0.0,676.0,70521,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
4639,2.0,7614.762958863128,1.0,2.0,0.0,5.0,2.0,0.0,199.0,74639,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
5828,1.0,8710.395465461017,1.0,0.0,0.0,4.0,0.0,2.0,395.0,75828,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
13612,1.0,7284.316220357588,1.0,0.0,1.0,5.0,0.0,2.0,439.0,83612,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
12714,0.0,4466.2483659039735,0.0,1.0,0.0,1.0,1.0,0.0,297.0,82714,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
12513,1.0,8695.522453107005,1.0,2.0,1.0,3.0,2.0,0.0,685.0,82513,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0
11500,2.0,11686.47051239451,0.0,0.0,1.0,5.0,1.0,0.0,89.0,81500,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
6807,0.0,5335.950833376759,0.0,1.0,0.0,4.0,0.0,1.0,313.0,76807,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
4534,2.0,8876.857075663027,0.0,1.0,0.0,1.0,0.0,1.0,553.0,74534,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
675,1.0,12379.16979976203,1.0,2.0,1.0,1.0,2.0,0.0,252.0,70675,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
3146,1.0,6418.973762988129,0.0,0.0,1.0,0.0,1.0,0.0,149.0,73146,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
397,1.0,4591.238188835552,0.0,1.0,0.0,5.0,2.0,0.0,515.0,70397,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
7126,2.0,10241.427239661149,0.0,2.0,1.0,0.0,2.0,0.0,822.0,77126,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
10370,1.0,10417.422763903309,0.0,2.0,1.0,1.0,0.0,2.0,756.0,80370,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
4392,1.0,7519.674450368632,1.0,0.0,0.0,4.0,0.0,0.0,406.0,74392,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
11730,0.0,6295.588478018517,1.0,2.0,0.0,2.0,1.0,0.0,741.0,81730,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
14752,1.0,11321.824487089038,1.0,0.0,1.0,5.0,1.0,2.0,247.0,84752,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
33,1.0,11130.178040091045,0.0,2.0,0.0,3.0,0.0,2.0,973.0,70033,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0
8645,1.0,12491.164374745824,1.0,1.0,0.0,3.0,1.0,0.0,136.0,78645,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0
9258,1.0,11654.9232223074,1.0,2.0,0.0,4.0,2.0,2.0,26.0,79258,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
845,1.0,7528.860567429934,0.0,1.0,1.0,5.0,1.0,1.0,469.0,70845,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
7118,1.0,12051.234323098794,0.0,2.0,1.0,3.0,2.0,2.0,169.0,77118,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0
10688,2.0,11969.012953290356,1.0,2.0,0.0,2.0,0.0,0.0,160.0,80688,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
13428,0.0,5582.2888638948725,1.0,1.0,1.0,5.0,1.0,0.0,898.0,83428,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
7968,1.0,13390.302198228286,1.0,1.0,1.0,1.0,2.0,1.0,59.0,77968,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
3771,2.0,5428.778400781299,0.0,2.0,1.0,0.0,2.0,2.0,741.0,73771,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
11772,0.0,9160.93064256609,1.0,1.0,0.0,3.0,2.0,1.0,492.0,81772,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0
13052,2.0,13367.083753878796,1.0,2.0,0.0,3.0,1.0,1.0,222.0,83052,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0
4672,0.0,4491.934955194247,0.0,0.0,0.0,2.0,0.0,1.0,639.0,74672,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
5569,0.0,10799.068260539423,0.0,2.0,0.0,0.0,0.0,0.0,7.0,75569,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
13239,2.0,11374.482990823282,1.0,2.0,1.0,5.0,1.0,0.0,361.0,83239,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
7419,1.0,9020.153315345073,1.0,1.0,0.0,4.0,0.0,0.0,111.0,77419,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
