Unnamed: 0,fdamage,fosslim,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,scenario_pop_gdp,scenario_sigma,t2xco2_dist,t2xco2_index,scenario,policy,model,sr,irstp,miu_period,egalitarian_discounting,principle,Damages 2005,clusters
21097,0.0,6222.173164907057,0.0,0.0,0.0,0.0,2.0,2.0,860.0,91097,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,2
19628,0.0,9705.880676425266,1.0,0.0,0.0,5.0,1.0,0.0,977.0,89628,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,5
30245,0.0,8571.59023045894,1.0,1.0,0.0,2.0,1.0,1.0,569.0,100245,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,0
15819,2.0,11871.571278974676,0.0,1.0,1.0,4.0,1.0,0.0,941.0,85819,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0015984095233518,4
18785,2.0,13398.576615516342,0.0,0.0,1.0,3.0,2.0,0.0,614.0,88785,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0015984095233518,1
7123,0.0,4535.060344056466,0.0,2.0,0.0,5.0,1.0,2.0,982.0,77123,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,5
21894,1.0,13620.882140598636,1.0,0.0,0.0,4.0,2.0,2.0,567.0,91894,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,4
14126,0.0,4317.0478281213145,1.0,0.0,0.0,5.0,1.0,2.0,499.0,84126,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,5
31586,0.0,11650.773889556733,1.0,0.0,1.0,5.0,1.0,0.0,174.0,101586,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,5
13462,1.0,11568.021800578665,0.0,1.0,0.0,0.0,0.0,2.0,133.0,83462,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,2
8500,1.0,9486.688884307388,1.0,0.0,1.0,5.0,1.0,0.0,495.0,78500,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,5
13994,1.0,4056.787181714419,1.0,1.0,0.0,4.0,0.0,2.0,375.0,83994,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,4
12654,0.0,13065.008487264213,1.0,0.0,0.0,5.0,2.0,2.0,426.0,82654,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,5
27527,0.0,9791.45054993233,0.0,0.0,1.0,3.0,1.0,1.0,183.0,97527,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,1
27465,0.0,8109.313976278803,0.0,1.0,1.0,2.0,2.0,2.0,864.0,97465,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,0
12401,0.0,12330.177266955045,1.0,2.0,0.0,4.0,2.0,2.0,904.0,82401,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,4
15758,1.0,8603.512852071703,0.0,2.0,1.0,3.0,1.0,0.0,729.0,85758,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,1
24096,1.0,5003.151279398116,0.0,0.0,0.0,2.0,1.0,2.0,245.0,94096,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,0
6018,0.0,8251.993027614872,0.0,2.0,0.0,0.0,0.0,0.0,427.0,76018,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,2
4340,0.0,6364.006556161246,0.0,0.0,0.0,3.0,1.0,2.0,809.0,74340,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,1
25549,2.0,12635.189178510484,0.0,1.0,0.0,3.0,0.0,1.0,389.0,95549,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0015984095233518,1
5855,1.0,10230.391952632952,1.0,1.0,0.0,5.0,0.0,2.0,486.0,75855,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,5
31183,0.0,7364.609048577715,0.0,2.0,1.0,3.0,1.0,0.0,813.0,101183,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,1
345,0.0,9420.423144307802,1.0,1.0,1.0,1.0,2.0,0.0,620.0,70345,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,0
24498,0.0,11161.31454659288,0.0,2.0,0.0,4.0,0.0,1.0,28.0,94498,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,4
20992,1.0,5230.968473065024,0.0,2.0,0.0,3.0,1.0,2.0,267.0,90992,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,1
9529,2.0,10422.221951311143,1.0,1.0,1.0,2.0,0.0,2.0,739.0,79529,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0015984095233518,0
23726,2.0,7035.825209643001,1.0,2.0,0.0,1.0,1.0,2.0,926.0,93726,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0015984095233518,0
12132,0.0,4989.447476315775,0.0,2.0,1.0,1.0,0.0,2.0,818.0,82132,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,0
31319,0.0,5229.623345790783,1.0,2.0,0.0,3.0,1.0,2.0,285.0,101319,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,1
30292,0.0,8185.182061070767,1.0,0.0,0.0,4.0,2.0,0.0,956.0,100292,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,4
352,1.0,11004.960666531,1.0,0.0,1.0,3.0,0.0,2.0,428.0,70352,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,1
151,2.0,7239.052262459121,1.0,1.0,0.0,3.0,2.0,2.0,958.0,70151,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0015984095233518,1
34872,2.0,11798.498769832957,0.0,1.0,1.0,5.0,2.0,0.0,460.0,104872,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0015984095233518,5
10876,0.0,4691.219711362113,1.0,0.0,0.0,5.0,1.0,1.0,937.0,80876,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,5
11125,1.0,5018.185250322779,0.0,1.0,0.0,3.0,1.0,0.0,170.0,81125,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,1
4991,2.0,11069.89703342847,0.0,2.0,1.0,2.0,0.0,1.0,234.0,74991,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0015984095233518,0
23362,0.0,11584.79289200564,1.0,2.0,0.0,0.0,1.0,1.0,897.0,93362,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,2
19493,2.0,4400.792171939437,1.0,2.0,1.0,0.0,0.0,0.0,451.0,89493,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0015984095233518,2
18807,0.0,5077.759516955112,0.0,2.0,0.0,5.0,0.0,2.0,400.0,88807,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,5
19909,2.0,4224.576405888724,0.0,2.0,1.0,5.0,2.0,1.0,454.0,89909,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0015984095233518,5
29637,2.0,12324.040202410975,0.0,2.0,0.0,3.0,0.0,1.0,69.0,99637,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0015984095233518,1
20627,0.0,7411.562352383806,1.0,2.0,0.0,3.0,2.0,1.0,494.0,90627,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,1
33733,1.0,4132.860261666041,0.0,1.0,1.0,1.0,0.0,0.0,454.0,103733,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,0
19834,2.0,11025.92526509544,1.0,2.0,1.0,5.0,2.0,0.0,200.0,89834,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0015984095233518,5
19212,1.0,8900.181458914958,1.0,2.0,1.0,2.0,0.0,2.0,865.0,89212,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,0
29195,1.0,8126.772403164608,0.0,2.0,1.0,4.0,2.0,0.0,648.0,99195,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,4
14229,1.0,11094.95644254583,0.0,2.0,0.0,4.0,1.0,0.0,897.0,84229,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,4
24432,2.0,13074.315392194076,0.0,0.0,1.0,1.0,1.0,0.0,110.0,94432,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0015984095233518,0
27533,1.0,6745.494959551939,0.0,2.0,0.0,3.0,1.0,1.0,160.0,97533,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,1
12924,0.0,7929.062116762563,1.0,0.0,1.0,1.0,1.0,0.0,781.0,82924,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,0
29658,2.0,10429.368923629045,0.0,1.0,1.0,3.0,2.0,2.0,774.0,99658,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0015984095233518,1
1169,1.0,8785.695689626169,1.0,1.0,0.0,1.0,0.0,2.0,349.0,71169,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,0
2749,2.0,4757.963668702188,0.0,0.0,1.0,5.0,2.0,0.0,724.0,72749,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0015984095233518,5
30646,0.0,11380.006567625622,0.0,0.0,1.0,5.0,2.0,0.0,647.0,100646,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,5
12585,1.0,8001.697410454968,1.0,0.0,1.0,3.0,1.0,1.0,831.0,82585,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,1
4441,1.0,8926.690016199213,1.0,2.0,1.0,4.0,0.0,2.0,776.0,74441,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,4
5179,1.0,11338.007402011368,0.0,1.0,0.0,2.0,1.0,1.0,314.0,75179,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,0
25629,1.0,10517.934184851663,0.0,2.0,0.0,5.0,1.0,2.0,601.0,95629,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,5
9707,2.0,7926.091417967804,0.0,1.0,1.0,2.0,2.0,1.0,27.0,79707,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0015984095233518,0
13930,0.0,5273.388241384264,1.0,2.0,1.0,5.0,0.0,2.0,226.0,83930,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,5
20018,1.0,7479.855334172891,1.0,1.0,1.0,1.0,1.0,0.0,25.0,90018,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,0
