,fdamage,t2xco2_index,t2xco2_dist,fosslim,scenario_pop_gdp,scenario_sigma,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,Distance to treshold 2055,Population under treshold 2055,Distance to treshold 2105,Population under treshold 2105,Distance to treshold 2155,Population under treshold 2155,Distance to treshold 2205,Population under treshold 2205,Distance to treshold 2305,Population under treshold 2305,Total Aggregated Utility
1181,2,499,0,6302.859289028708,5,1,1,1,0,0.0,0.0,53.752315504668914,2631.769437298126,61.61272574388996,3911.6735014969886,68.04403215171375,4237.432250911169,78.46181593993164,4075.409941329269,9451.38312240454
1182,0,927,2,5939.058172235658,0,1,1,1,0,0.0,0.0,0.47431778836073024,372.6198936204345,51.77738429832899,1986.1841993580556,72.23177252058709,3332.787259720956,82.54983920032869,4788.604485948873,12821.83478112789
1183,1,483,0,4606.300599055129,4,1,0,1,1,0.11117407830571602,896.8331390502575,0.6997407015560106,1775.9950797558326,17.534474972588857,2126.9674833382687,69.37326337895841,2126.9674833382687,79.9980906404971,2126.9674833382687,7774.953268760633
1184,2,937,2,6147.542925305723,2,1,1,1,1,0.07981531201874148,392.11377720333263,52.9973449087151,1784.313778861636,61.36231262089562,4460.9965686192645,67.82723583333748,4767.091535841431,78.77699449379695,4460.9965686192645,6154.0320344279935
1185,1,369,2,4586.639900678632,4,1,0,1,0,0.12404330572460442,896.8331390502575,0.931987730601171,2009.847171736596,62.211508096495905,2803.847513455064,18.516734661274548,3530.808872453228,79.71529576386376,3530.808872453228,8592.661320866455
1186,1,712,1,9957.249503657024,4,1,0,1,0,0.11346847163266904,896.8331390502575,0.7665487158047279,2009.847171736596,62.26012974877983,2126.9674833382687,54.70311766037243,3110.6497661463163,20.22532113225615,3530.808872453228,8253.717219258519
1187,1,485,2,4036.9033781968633,0,1,0,1,0,0.0,0.0,0.5326645282976923,372.6198936204345,64.83592145902605,1199.2385200652923,72.67378583123894,2035.3173473789363,84.4285929710929,2453.1411161704627,6925.355446326063
1188,2,301,1,4017.230705431598,4,1,0,1,0,0.9000509545690756,448.41656952512875,0.29842698820789804,1662.89605509462,18.265388440334604,3530.808872453228,69.07073929307253,3876.400590564865,79.61818266567184,3647.929184054901,7002.399555904802
1189,1,575,0,7266.131515781805,0,1,1,1,1,0.017001268636054112,322.2881872211466,2.3413432900025164,372.6198936204345,64.18735452477969,2142.531220497853,72.47380739210949,2914.1520211653615,84.51040736070433,2133.2235534446068,7364.2763963078305
1190,1,207,1,7270.171673663955,4,1,0,1,1,0.1155028237280018,896.8331390502575,0.7606050246907816,2009.847171736596,62.267552923145004,2126.9674833382687,69.34485099201007,2803.847513455064,79.96191664314807,2126.9674833382687,7708.887987266187
1191,2,396,0,9851.304445954891,2,1,0,1,1,0.05370462129841913,392.11377720333263,0.5814246765460291,488.1716403629208,62.70656249166853,1876.0716868837226,67.40897441002633,2350.113896524737,70.61350761096794,943.0931363323311,9582.015186035755
1192,1,983,2,4161.325151986127,2,1,1,1,1,0.6472940710390203,392.11377720333263,52.972644184751175,1876.0716868837226,61.996172606113205,3862.734694352202,68.50315777374101,4460.9965686192645,78.63841436108387,4578.569075165396,7928.9977747268
1193,1,479,1,10850.254798934257,1,1,1,2,1,0.1186865651625868,336.4130577544048,53.21356794951846,441.1024014749958,63.36451392707623,1016.3639102991358,70.629406113651,1016.3639102991358,71.18521807179772,729.3515110075118,9373.802422868097
1194,1,777,2,12857.913882414849,1,1,1,1,0,0.08230782894397204,336.4130577544048,53.30979722317348,1267.0526340908361,62.04422801692598,2838.929828168075,69.17269310497771,3315.3016312010295,79.21401655173652,3428.5638880719907,9807.571691610407
1195,1,404,1,7594.967212948068,1,1,0,1,0,0.06207680465820853,336.4130577544048,53.333319849566486,1267.0526340908361,50.10711956737314,2816.1598653875876,69.35720689865707,2967.727250169453,79.48210697780792,3315.3016312010295,10581.625353296022
1196,1,987,1,5070.726311771923,2,1,0,1,1,0.47469829069455116,392.11377720333263,52.775207359299884,1027.0883286775713,62.08968601545412,2350.113896524737,69.58388373783218,3353.5590827052038,80.27148821108626,3069.5170036149534,10707.867458963578
1197,1,990,0,7516.344992929335,2,1,1,1,0,0.41931111303343327,392.11377720333263,7.141085286085908,622.5058907699087,62.68479045358453,1876.0716868837226,69.72921187327519,2350.113896524737,80.31932315998645,2350.113896524737,11326.591546428954
1198,1,279,1,7112.868603320229,0,1,0,1,0,0.0,0.0,0.9754936426375982,372.6198936204345,64.78105162888684,1621.9515758533562,72.5782465471488,2339.2681182821393,54.776834791283534,3469.700586853586,7991.960801251163
1199,1,241,1,6711.70419911691,0,1,0,1,1,0.019721636297394207,322.2881872211466,2.5142653621809954,372.6198936204345,64.18493019637668,2142.531220497853,72.46873271766331,3043.5852436995224,84.49589908023741,2133.2235534446068,7875.521862308749
1200,1,248,1,7552.304872926119,1,1,0,1,0,0.023817710901207878,336.4130577544048,53.37290221273024,923.0288117910679,62.77203959992576,2472.88734975062,69.64769428865608,2838.929828168075,80.00364221939302,2838.929828168075,11667.768115067654
1201,1,426,0,5691.319941723226,0,1,1,1,0,0.0,0.0,0.9237002498451568,372.6198936204345,64.78335638594757,1621.9515758533562,72.58310692958312,2339.2681182821393,54.78617132662507,3469.700586853586,7431.063885006254
1202,0,705,1,5208.614993898496,4,1,1,1,1,1.0283253422928333,448.41656952512875,1.1791173786627978,676.8800301167952,1.6236687041680846,676.8800301167952,1.8948228860179608,676.8800301167952,2.0027651354905696,676.8800301167952,8560.869991193395
1203,1,562,2,12371.835598715135,0,1,0,1,0,0.0,0.0,1.4071323674586989,372.6198936204345,64.74090307109962,1862.6636445874174,72.50656875442635,2914.1520211653615,84.19981593943903,3490.6721883148266,10138.1843320534
1204,1,115,2,7285.114505857573,2,1,0,1,1,0.6506232161755423,392.11377720333263,52.97266471361767,1876.0716868837226,61.991982217736265,3862.734694352202,68.49454011634677,4460.9965686192645,78.60291954391907,4608.23284300132,7877.337386655647
1205,1,578,1,12160.100585695198,0,1,1,1,1,0.09507307383692565,322.2881872211466,53.60541546273399,1282.415941718475,44.577409204801064,3501.549269380066,71.95095188305012,3759.476465406042,83.90251317231503,3944.606878708656,11993.526589846124
1206,1,797,2,6740.29011643692,0,1,1,1,0,0.04874935725932672,322.2881872211466,20.871677792384478,806.8959842396225,64.5442579369432,2450.364884175149,72.1371831149361,3356.338888052043,83.67097861103164,4325.190940062255,14504.16640387291
1207,2,301,1,5246.051436294945,5,1,0,1,0,0.0,0.0,53.76680401516585,2631.769437298126,61.653818976711314,3911.6735014969886,68.08890860873676,4075.409941329269,78.49960840904879,4075.409941329269,9492.504866923457
1208,1,392,1,4132.110732200777,0,1,1,1,1,0.0,0.0,0.5495298784707784,372.6198936204345,64.84051257595617,1199.2385200652923,70.24940944003384,2035.3173473789363,74.04054100262447,898.569582872551,6952.053623769737
1209,1,309,2,11480.169842588153,1,1,0,1,0,0.06726498764499111,336.4130577544048,53.32784932593308,1267.0526340908361,50.09008741465815,2816.1598653875876,69.31408874814174,3028.2892319094058,79.40699792792765,3315.3016312010295,10327.575222868743
1210,1,170,1,5336.880500270787,4,1,0,1,0,0.11049325732919191,896.8331390502575,0.7239762622639172,1775.9950797558326,62.27312370882905,2126.9674833382687,22.078720038289934,3037.699605435827,51.89429925709807,3037.699605435827,8315.292816816927
1211,2,566,0,13601.634983849674,2,1,1,1,1,0.054330493795051504,392.11377720333263,0.7045128739219471,488.1716403629208,62.668014388837214,1876.0716868837226,69.71907316522666,2350.113896524737,70.58486923396077,1027.0883286775713,9523.820652160051
1212,1,738,2,8565.648927248483,4,1,0,1,0,0.18462214016014555,896.8331390502575,52.61846338010665,2126.9674833382687,61.88781176784235,3887.9801546622853,68.70374108174961,4430.968241504078,78.81775911408883,5448.907462402722,5041.808629467438
1213,1,821,1,6586.125128297266,0,1,1,1,0,0.0,0.0,0.08009104863629463,372.6198936204345,64.4022398316504,914.9333056926503,72.79905666339053,1525.1792446095053,73.92003746081419,2133.2235534446068,6985.207931200694
1214,2,414,1,4692.530419906649,5,1,0,1,0,0.0,0.0,53.57526915305841,2901.1835321338954,61.2357485973699,4075.409941329269,67.7506224615675,4281.490226585168,78.10298341272903,4237.432250911169,9057.592483378041
1215,2,309,0,6097.903396834178,5,1,0,1,1,0.0,0.0,53.60532249992076,2901.1835321338954,61.358978279006394,3911.6735014969886,67.90295713901612,4237.432250911169,78.70590448708728,3911.6735014969886,9024.109161553117
1216,1,678,2,8762.989085920548,1,1,1,1,0,0.11393791291663136,336.4130577544048,53.275525089767676,1360.387732598904,62.392018399593944,2838.929828168075,68.87017245045286,3315.3016312010295,78.855480967909,3570.132172910755,9127.458812952804
1217,2,284,0,11293.487172455234,2,1,0,1,0,0.0643014016977641,392.11377720333263,9.315197445723006,622.5058907699087,62.060094342740264,3862.734694352202,68.58852819558392,4460.9965686192645,79.1122663523002,4460.9965686192645,8266.859251630516
1218,0,369,2,11437.536696185058,0,1,1,1,1,0.0,0.0,0.0,0.0,8.552119534254059,575.252627617949,57.41150016886445,2138.2536191752833,84.44235309858162,3076.666409689089,12640.454335580685
1219,1,34,1,12039.459772238732,0,1,1,1,0,0.0,0.0,0.0,0.0,64.42423029861222,747.7894368246091,72.8350810780658,1433.867468675872,84.64026069932102,1593.8084313205363,7001.983863341158
1220,1,595,0,7299.920484609537,4,1,0,1,0,1.0532403001549404,448.41656952512875,1.3231870248760373,676.8800301167952,1.8051290035739211,676.8800301167952,1.9914457262667393,676.8800301167952,1.858388494198627,676.8800301167952,6679.223341296562
1221,1,255,1,13418.884692054093,2,1,1,1,0,0.4269406082816589,392.11377720333263,9.160019105945375,622.5058907699087,62.6659876029237,1876.0716868837226,69.69760956736296,2350.113896524737,80.27396320863754,3069.5170036149534,11663.426958579834
1222,1,131,1,4800.489734759776,4,1,1,1,0,0.10427927618779997,896.8331390502575,0.6418623076334078,1775.9950797558326,10.873443337471487,2126.9674833382687,69.36989503231779,2803.847513455064,79.92134959449861,2803.847513455064,7769.621423160253
1223,2,369,1,10954.157208936223,2,1,0,1,1,0.06408287651629485,392.11377720333263,4.9721802128900245,622.5058907699087,62.234212097704024,3512.4177755453147,69.02029908736608,3862.734694352202,80.23226687938062,3353.5590827052038,8990.631127133734
1224,2,791,1,12326.620488063309,2,1,0,1,0,0.06185596048420039,392.11377720333263,4.141405706453366,488.1716403629208,49.76762682607344,3833.0050211077373,68.8095451504941,4100.184850776034,79.40030325838144,4100.184850776034,9260.308060436199
1225,1,954,1,9547.007628608928,3,1,1,1,0,0.09362011638983536,936.6944332625601,1.318522942395924,1895.3104670826424,4.701232615943251,3504.484132329905,69.11506087651318,3504.484132329905,79.64449345008605,3504.484132329905,8015.092954083133
1226,1,323,1,7993.954012878522,2,1,1,1,1,0.4147662091858666,392.11377720333263,5.2941812419086025,622.5058907699087,62.72151346924896,1876.0716868837226,67.44580937202188,2350.113896524737,80.58026091719515,1784.313778861636,10676.742767835538
1227,1,17,2,9738.981257235193,0,1,1,1,0,0.0,0.0,0.3373594366400233,372.6198936204345,64.86293046585469,1199.2385200652923,70.24962682975219,2035.3173473789363,84.4963215152266,2300.2666132147224,6948.008881327058
1228,1,613,1,4916.987451196727,4,1,0,1,1,0.10681588989541302,896.8331390502575,0.6417233725148264,1775.9950797558326,7.6780708166615605,2126.9674833382687,69.40054097717487,2126.9674833382687,80.03213576223631,2126.9674833382687,7616.623927548936
1229,1,335,0,11470.66398843381,4,1,0,1,0,0.10338180081016124,896.8331390502575,0.6284754560879942,1775.9950797558326,9.019692187573227,2126.9674833382687,69.3825779617594,2126.9674833382687,79.93016308674879,2803.847513455064,7794.719356833743
1230,1,402,0,5179.23946640954,0,1,1,1,0,0.03399983722074229,322.2881872211466,5.355214544827054,806.8959842396225,64.59805221835347,2266.051775268491,72.24138590936953,3356.338888052043,83.82510384181298,3944.606878708656,13890.794004196032
1231,1,954,0,7195.885275542234,0,1,0,1,1,0.006917730973845515,322.2881872211466,1.767688681674778,372.6198936204345,51.792724243416004,2142.531220497853,72.53684796022768,2611.290883591959,73.89127610797482,2133.2235534446068,6866.554966294309
1232,1,777,2,4000.2452530352352,1,1,0,1,1,0.07360154749401304,336.4130577544048,53.327211384007335,1267.0526340908361,50.107018258434024,2816.1598653875876,69.40583832735025,2967.727250169453,79.85659714861109,3028.2892319094058,10266.241627129744
1233,1,768,1,9645.352327398656,2,1,1,1,0,0.4062748425587823,392.11377720333263,5.153700841148962,622.5058907699087,62.71600545357969,1876.0716868837226,67.41005400357611,2350.113896524737,80.39235018464794,2350.113896524737,11016.26543823886
1234,1,613,1,9094.097320808001,4,1,1,1,0,0.10942485626262233,896.8331390502575,0.7110190560036818,1775.9950797558326,62.27335689316804,2126.9674833382687,18.54353803952838,3037.699605435827,51.90058817154294,3037.699605435827,7689.519336858562
1235,1,541,0,6995.322341767686,0,1,0,1,0,0.022193975277359557,322.2881872211466,3.3519647201683704,372.6198936204345,64.13729519281014,2142.531220497853,72.32633996194185,3356.338888052043,83.94002750160759,3944.606878708656,13076.266181839253
1236,1,421,1,5817.558584689755,0,1,0,1,0,0.0,0.0,1.4194265165464572,372.6198936204345,64.73990859013738,1862.6636445874174,72.50477496327593,2914.1520211653615,84.19729011939278,3490.6721883148266,10136.097156079384
1237,1,190,1,7197.4842223522455,2,1,1,1,0,0.6321578460126693,392.11377720333263,52.98093625047436,1784.313778861636,62.00051346077289,3862.734694352202,68.45677076962892,4460.9965686192645,78.33257882911533,4742.567093408308,7792.506446559754
1238,1,719,1,5001.858595670871,0,2,0,1,0,0.029024288215134142,322.2881872211466,0.7436262009986042,372.6198936204345,64.36810606038122,914.9333056926503,72.78824230992947,1525.1792446095053,73.89084988296877,2133.2235534446068,6956.224422798942
1239,1,816,2,7032.716530476606,1,1,1,1,1,0.08692392600149956,336.4130577544048,53.31013405538787,1267.0526340908361,62.07084770326887,2816.1598653875876,69.27974648528485,3028.2892319094058,79.67428097411023,3315.3016312010295,9917.738995437028
1240,1,815,1,13635.00169923669,0,1,1,1,0,0.0,0.0,0.83739173209031,372.6198936204345,64.79313940973974,1621.9515758533562,72.60031738816366,2339.2681182821393,31.24394161149997,3469.700586853586,6888.6998107777235
